id,session_id,month_year,assigned_to,document_count,categorized_count,skipped_count,assigned_at,completed_at,created_at,updated_at
71d751eb-f8e6-4b25-813f-7f9499c43625,8267942a-3721-4956-b866-3aad8e56a1bb,2018-06,922bde00-234f-4016-99b1-241e6574c57f,199,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:16.854+00,2025-12-09 10:43:54.753+00
2ae890c2-1673-432a-a510-8a41c8995dcf,8267942a-3721-4956-b866-3aad8e56a1bb,2013-03,922bde00-234f-4016-99b1-241e6574c57f,26,9,13,2025-12-09 07:47:42.458+00,,2025-12-09 07:43:45.388+00,2025-12-13 09:57:54.923+00
7b292282-53d4-4a2a-8a8d-a246b96cd7af,8267942a-3721-4956-b866-3aad8e56a1bb,2015-05,922bde00-234f-4016-99b1-241e6574c57f,52,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:44:09.084+00,2025-12-09 10:43:17.72+00
ab195be3-da97-4def-a260-e8678ab2c10d,8267942a-3721-4956-b866-3aad8e56a1bb,2014-05,922bde00-234f-4016-99b1-241e6574c57f,13,8,5,2025-12-09 07:47:42.458+00,,2025-12-09 07:43:45.374+00,2025-12-13 10:04:22.104+00
7dc1e92b-4442-4e36-827f-c8ce3b5df6a3,8267942a-3721-4956-b866-3aad8e56a1bb,2013-12,922bde00-234f-4016-99b1-241e6574c57f,5,0,5,2025-12-09 07:47:42.458+00,,2025-12-09 07:43:45.357+00,2025-12-13 09:59:45.046+00
a1f6be7c-bfe1-4111-bb13-2ec3d19e0422,8267942a-3721-4956-b866-3aad8e56a1bb,2013-08,922bde00-234f-4016-99b1-241e6574c57f,4,0,4,2025-12-09 07:47:42.458+00,,2025-12-09 07:43:45.346+00,2025-12-13 09:58:47.426+00
d3ff1b2c-565d-4972-a056-437cbf9e539c,8267942a-3721-4956-b866-3aad8e56a1bb,2014-02,922bde00-234f-4016-99b1-241e6574c57f,7,3,4,2025-12-09 07:47:42.458+00,,2025-12-09 07:43:45.363+00,2025-12-13 10:01:28.481+00
08538b7e-6b87-4fbf-9bdb-ec8d0e946e77,8267942a-3721-4956-b866-3aad8e56a1bb,2017-05,922bde00-234f-4016-99b1-241e6574c57f,394,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:45.98+00,2025-12-09 09:51:59.212+00
279cbff1-dbd8-4e96-8297-b0c9e576e5ae,8267942a-3721-4956-b866-3aad8e56a1bb,2015-02,922bde00-234f-4016-99b1-241e6574c57f,155,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:44:08.95+00,2025-12-09 10:43:17.698+00
dd753f8b-9b14-42d5-844e-80f11f25d009,8267942a-3721-4956-b866-3aad8e56a1bb,2020-03,922bde00-234f-4016-99b1-241e6574c57f,123,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:16.975+00,2025-12-09 10:11:24.198+00
18937d5d-6ecb-4de7-a274-8b81360d1dab,8267942a-3721-4956-b866-3aad8e56a1bb,2015-06,922bde00-234f-4016-99b1-241e6574c57f,122,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:44:09.093+00,2025-12-09 10:43:17.733+00
f012e7c3-81cf-4906-a104-95490c0e108a,8267942a-3721-4956-b866-3aad8e56a1bb,2015-03,922bde00-234f-4016-99b1-241e6574c57f,189,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:44:09.069+00,2025-12-09 10:43:17.714+00
